"SKU","UPC","DESCRIPTION","STYLE","COLOR","SIZE","WHOLESALE_PRICE","DISCONTINUED","CLEARANCE","QTY_AVAILABLE","REPLENISH_DATE"
"30046-L","840295138404","CAMI TOP AND PANTY","30046","CINNAMON SPICE","L","11.95","No","No","137",""
"30046-M","840295138398","CAMI TOP AND PANTY","30046","CINNAMON SPICE","M","11.95","No","No","168",""
"30046-S","840295138381","CAMI TOP AND PANTY","30046","CINNAMON SPICE","S","11.95","No","No","144",""
"30046-XL","840295138411","CAMI TOP AND PANTY","30046","CINNAMON SPICE","XL","11.95","No","No","113",""
"30047-L","840295141824","CAMI TOP & BOOTY SHORTS","30047","BLACK","L","14.95","No","No","205","04/15/22"
"30047-M","840295141817","CAMI TOP & BOOTY SHORTS","30047","BLACK","M","14.95","No","No","140",""
"30047-S","840295141800","CAMI TOP & BOOTY SHORTS","30047","BLACK","S","14.95","No","No","129","04/15/22"
"30047-XL","840295141831","CAMI TOP & BOOTY SHORTS","30047","BLACK","XL","14.95","No","No","175",""
"30052-XL","840295142074","CAMI TOP & BOOTYSHORTS","30052","PLAID","XL","12.95","Yes","No","17",""
"30058-L","840295142739","CAMI TOP & BOOTY SHORTS","30058","NEON PINK","L","12.95","Yes","No","18",""
"30058-XL","840295142746","CAMI TOP & BOOTY SHORTS","30058","NEON PINK","XL","12.95","Yes","No","99",""
"30064X-1X","840295146836","CAMI TOP & PANTY","30064X","ANGEL BLUE","1X","14.95","No","No","138","01/15/23"
"30064X-2X","840295146843","CAMI TOP & PANTY","30064X","ANGEL BLUE","2X","14.95","No","No","100",""
"30064X-3X","840295146850","CAMI TOP & PANTY","30064X","ANGEL BLUE","3X","14.95","No","No","73",""
"30064-L","840295146829","CAMI TOP & PANTY","30064","ANGEL BLUE","L","13.95","No","No","127",""
"30064-M","840295146812","CAMI TOP & PANTY","30064","ANGEL BLUE","M","13.95","No","No","97","01/15/23"
"30064-S","840295146805","CAMI TOP & PANTY","30064","ANGEL BLUE","S","13.95","No","No","112","01/15/23"
"30065-L","840295147284","LACE & MESH CAMISETTE W/G-STRI","30065","MINT GREEN","L","13.95","No","No","149",""
"30065-M","840295147277","LACE & MESH CAMISETTE W/G-STRI","30065","MINT GREEN","M","13.95","No","No","151","01/15/23"
"30065-S","840295147260","LACE & MESH CAMISETTE W/G-STRI","30065","MINT GREEN","S","13.95","No","No","134",""
"30065-XL","840295147291","LACE & MESH CAMISETTE W/G-STRI","30065","MINT GREEN","XL","13.95","No","No","141",""
"30071-L","840295147765","LACE CAMI TOP & PANTY","30071","LILAC","L","12.95","No","No","198",""
"30071-M","840295147758","LACE CAMI TOP & PANTY","30071","LILAC","M","12.95","No","No","220",""
"30071-S","840295147741","LACE CAMI TOP & PANTY","30071","LILAC","S","12.95","No","No","178",""
"30071-XL","840295147772","LACE CAMI TOP & PANTY","30071","LILAC","XL","12.95","No","No","219",""
"30072X-1XSALE","840295146515","CAMI TOP & PANTY","30072X","BUFFALO PLAID","1X","7.97","Yes","No","93","08/20/22"
"30072X-2XSALE","840295146522","CAMI TOP & PANTY","30072X","BUFFALO PLAID","2X","7.97","Yes","No","70",""
"30072X-3XSALE","840295146539","CAMI TOP & PANTY","30072X","BUFFALO PLAID","3X","7.97","Yes","No","130",""
"30072-LSALE","840295146508","CAMI TOP & PANTY","30072","BUFFALO PLAID","L","7.47","Yes","No","142",""
"30072-MSALE","840295146492","CAMI TOP & PANTY","30072","BUFFALO PLAID","M","7.47","Yes","No","102","08/20/22"
"30072-SSALE","840295146485","CAMI TOP & PANTY","30072","BUFFALO PLAID","S","7.47","Yes","No","128","08/20/22"
"30074-L","840295147949","SATIN HOOK & EYE CAMI TOP","30074","BLACK","L","7.95","No","No","0",""
"30074-M","840295147932","SATIN HOOK & EYE CAMI TOP","30074","BLACK","M","7.95","No","No","0",""
"30074-S","840295147925","SATIN HOOK & EYE CAMI TOP","30074","BLACK","S","7.95","No","No","0",""
"30074-XL","840295147956","SATIN HOOK & EYE CAMI TOP","30074","BLACK","XL","7.95","No","No","0",""
"30075-L","840295149059","CAMI TOP & PANTY","30075","JADE","L","13.95","No","No","19",""
"30075-M","840295149042","CAMI TOP & PANTY","30075","JADE","M","13.95","No","No","5","08/15/23"
"30075-S","840295149035","CAMI TOP & PANTY","30075","JADE","S","13.95","No","No","15","08/15/23"
"30075-XL","840295149066","CAMI TOP & PANTY","30075","JADE","XL","13.95","No","No","34",""
"30079-L","840295149097","BRA, GARTERBELT & PANTY","30079","BUFFALO PLAID","L","14.95","No","No","240",""
"30079-M","840295149080","BRA, GARTERBELT & PANTY","30079","BUFFALO PLAID","M","14.95","No","No","248","08/15/23"
"30079-S","840295149073","BRA, GARTERBELT & PANTY","30079","BUFFALO PLAID","S","14.95","No","No","233",""
"30079-XL","840295149103","BRA, GARTERBELT & PANTY","30079","BUFFALO PLAID","XL","14.95","No","No","224",""
"3015-L","846073079099","SATIN UNISEX PANTS","3015","BLACK","L","6.95","No","No","177",""
"3015-M","846073079082","SATIN UNISEX PANTS","3015","BLACK","M","6.95","No","No","196",""
"3015-S","846073079075","SATIN UNISEX PANTS","3015","BLACK","S","6.95","No","No","226",""
"3068B-L","840295120423","BLACK BRALETTE & PANTY","3068","BLACK","L","13.95","No","No","177","03/28/21"
"3068B-M","840295120416","BLACK BRALETTE & PANTY","3068","BLACK","M","13.95","No","No","77","03/28/21"
"3068B-S","840295120409","BLACK BRALETTE & PANTY","3068","BLACK","S","13.95","No","No","0","03/28/21"
"3068RO-L","840295131016","ROYAL BRALETTE & PANTY","3068","ROYAL BLUE","L","13.95","No","No","171","06/09/20"
"3068RO-M","840295131009","ROYAL BRALETTE & PANTY","3068","ROYAL BLUE","M","13.95","No","No","178","07/08/21"
"3068RO-S","840295130996","ROYAL BRALETTE & PANTY","3068","ROYAL BLUE","S","13.95","No","No","96","07/08/21"
"3068R-L","840295126432","RED BRALETTE & PANTY","3068","RED","L","13.95","No","No","27",""
"3068R-M","840295126425","RED BRALETTE & PANTY","3068","RED","M","13.95","No","No","177","02/01/21"
"3068R-S","840295126418","RED BRALETTE & PANTY","3068","RED","S","13.95","No","No","149",""
"3068XB-1X","840295120430","BLACK BRALETTE & PANTY","3068X","BLACK","1X","14.95","No","No","0","03/28/21"
"3068XB-2X","840295120447","BLACK BRALETTE & PANTY","3068X","BLACK","2X","14.95","No","No","11",""
"3068XB-3X","840295120454","BLACK BRALETTE & PANTY","3068X","BLACK","3X","14.95","No","No","47",""
"3068XRO-1X","840295131023","ROYAL BRALETTE & PANTY","3068X","ROYAL BLUE","1X","14.95","No","No","88","06/09/20"
"3068XRO-2X","840295131030","ROYAL BRALETTE & PANTY","3068X","ROYAL BLUE","2X","14.95","No","No","59",""
"3068XRO-3X","840295131047","ROYAL BRALETTE & PANTY","3068X","ROYAL BLUE","3X","14.95","No","No","29","09/15/19"
"3068XR-1X","840295126449","RED BRALETTE & PANTY","3068X","RED","1X","14.95","No","No","72","02/01/21"
"3068XR-2X","840295126456","RED BRALETTE & PANTY","3068X","RED","2X","14.95","No","No","122","08/15/18"
"3068XR-3X","840295126463","RED BRALETTE & PANTY","3068X","RED","3X","14.95","No","No","96","08/15/18"
"3068X-1X","840295115177","DUSTY ROSE BRALETTE & PANTY","3068X","DUSTY ROSE","1X","14.95","No","No","103","03/28/21"
"3068X-2X","840295115184","DUSTY ROSE BRALETTE & PANTY","3068X","DUSTY ROSE","2X","14.95","No","No","147",""
"3068X-3X","840295115191","DUSTY ROSE BRALETTE & PANTY","3068X","DUSTY ROSE","3X","14.95","No","No","97",""
"3068-L","840295115160","DUSTY ROSE BRALETTE & PANTY","3068","DUSTY ROSE","L","13.95","No","No","269",""
"3068-M","840295115153","DUSTY ROSE BRALETTE & PANTY","3068","DUSTY ROSE","M","13.95","No","No","377","08/31/17"
"3068-S","840295115146","DUSTY ROSE BRALETTE & PANTY","3068","DUSTY ROSE","S","13.95","No","No","364","04/15/22"
"3094-L","840295122236","EYELASH LACE CAMI & PANTY","3094","ROYAL BLUE","L","14.95","No","No","142","12/30/18"
